date,stage,home,away,stakes_label,delta_elo,total_goals,over_2_5,margin,basis,notes
,R32,South Africa,Canada,competitive,-150,1,0,1,ko_stage,
,R32,Brazil,Japan,competitive,151,3,1,1,ko_stage,
,R32,Germany,Paraguay,competitive,230,2,0,0,ko_stage,
,R32,Netherlands,Morocco,competitive,110,2,0,0,ko_stage,
,R32,Cote dIvoire,Norway,competitive,-60,3,1,1,ko_stage,
,R32,France,Sweden,competitive,253,3,1,3,ko_stage,
,R32,Mexico,Ecuador,competitive,40,2,0,2,ko_stage,
,R32,England,DR Congo,competitive,324,3,1,1,ko_stage,
,R32,Belgium,Senegal,competitive,50,4,1,0,ko_stage,
,R32,USA,Bosnia,competitive,85,2,0,2,ko_stage,
,R32,Spain,Austria,competitive,337,3,1,3,ko_stage,
,R32,Portugal,Croatia,competitive,89,3,1,1,ko_stage,
,R32,Switzerland,Algeria,competitive,91,2,0,2,ko_stage,
,R32,Argentina,Cabo Verde,competitive,495,2,0,0,ko_stage,
,R32,Australia,Egypt,competitive,92,2,0,0,ko_stage,
,R32,Colombia,Ghana,competitive,232,1,0,1,ko_stage,
,R16,Canada,Morocco,competitive,10,3,1,3,ko_stage,
,R16,Brazil,Norway,competitive,111,3,1,1,ko_stage,
,R16,Paraguay,France,competitive,-333,1,0,1,ko_stage,
,R16,Mexico,England,competitive,-134,5,1,1,ko_stage,
,R16,Portugal,Spain,competitive,-168,1,0,1,ko_stage,
,R16,USA,Belgium,competitive,-70,5,1,3,ko_stage,
,R16,Argentina,Egypt,competitive,487,5,1,1,ko_stage,
,R16,Switzerland,Colombia,competitive,-91,0,0,0,ko_stage,
,QF,France,Morocco,competitive,203,2,0,2,ko_stage,
,QF,Spain,Belgium,competitive,227,3,1,1,ko_stage,
,QF,Norway,England,competitive,-144,2,0,0,ko_stage,
,QF,Argentina,Switzerland,competitive,224,2,0,0,ko_stage,
,SF,France,Spain,competitive,-94,2,0,2,ko_stage,
,SF,England,Argentina,competitive,-91,3,1,1,ko_stage,
,3P,France,England,dead_rubber,39,10,1,2,ko_stage,
,F,Spain,Argentina,competitive,42,0,0,0,ko_stage,
,group,Norway,France,dead_rubber,-183,5,1,3,competition_state,
,group,Senegal,Iraq,dead_rubber,260,5,1,5,competition_state,
,group,Spain,Saudi Arabia,one_sided,497,4,1,4,competition_state,
,group,Uruguay,Cabo Verde,competitive,300,4,1,0,competition_state,
,group,Iran,Belgium,competitive,-120,0,0,0,competition_state,
,group,Egypt,New Zealand,dead_rubber,128,4,1,2,competition_state,
,group,Jordan,Argentina,dead_rubber,-475,4,1,2,competition_state,
,group,Algeria,Austria,competitive,-20,6,1,0,competition_state,
,group,Colombia,Portugal,dead_rubber,-7,0,0,0,competition_state,
,group,DR Congo,Uzbekistan,one_sided,10,4,1,2,competition_state,
,group,Panama,England,dead_rubber,-384,2,0,2,competition_state,
,group,Croatia,Ghana,competitive,150,3,1,1,competition_state,
